Borough,ParkorPlayground,Date,SportsPlayed,KIMorSSE,Attendance,Cancellation
Bronx,Williamsbridge Oval Park,08/06/2024 10:30:00 AM,Various Sports,S.S.E,22,
Manhattan,Langston Hughes Playground,06/13/2024 11:25:00 AM,,K.I.M,108,
Manhattan,Fort Tryon Park,07/05/2024 09:39:00 AM,,K.I.M,517,
Bronx,Hunts Point Playground,08/20/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Queens,Grover Cleveland Playground,04/20/2024 06:00:00 PM,,K.I.M,222,
Manhattan,Tompkins Square Park,08/26/2022 06:00:00 PM,,K.I.M,15,
Staten Island,Arrochar Playground,07/25/2023 10:00:00 AM,,K.I.M,33,
Bronx,Williamsbridge Oval Park,08/08/2024 04:00:00 PM,Soccer,S.S.E,0,Bad Weather
Staten Island,DeMatti Park Fieldhouse,08/01/2023 10:00:00 AM,,K.I.M,90,
Brooklyn,Sternberg Park,08/09/2024 10:00:00 AM,,K.I.M,0,Bad Weather
Queens,Brookville Park,06/27/2024 06:00:00 PM,,K.I.M,55,
Brooklyn,Dyker Beach Park,09/07/2022 10:00:00 AM,,K.I.M,27,
Manhattan,Langston Hughes Playground,08/17/2022 06:00:00 PM,,K.I.M,0,Called Out
Bronx,Williamsbridge Oval Recreation Center,09/01/2022 11:00:00 AM,Various Sports,S.S.E,7,
Queens,Astoria Heights Playground,05/18/2023 06:00:00 PM,,K.I.M,145,
Queens,Corona Golf Playground,07/30/2022 10:16:00 AM,,K.I.M,98,
Manhattan,McKinley Playground,06/01/2022 06:00:00 PM,,K.I.M,60,
Manhattan,St. Catherine's Park,05/19/2023 05:00:00 PM,,K.I.M,250,
Manhattan,Columbus Park,10/06/2023 06:00:00 PM,,K.I.M,0,Career Coaching
Queens,Yellowstone Park,09/13/2022 12:26:00 PM,,K.I.M,0,Called Out
Brooklyn,Hamilton Metz Field,09/17/2024 10:00:00 AM,,K.I.M,27,
Queens,Phil Scooter Rizzuto Park,10/06/2023 06:00:00 PM,,K.I.M,164,
Queens,Astoria Heights Playground,08/30/2023 06:00:00 PM,,K.I.M,142,
Brooklyn,Seth Low Playground/ Bealin Square,06/06/2024 10:00:00 AM,,K.I.M,24,
Queens,London Planetree Playground,07/05/2022 06:00:00 PM,,K.I.M,42,
Queens,Grover Cleveland Playground,05/01/2024 06:00:00 PM,,K.I.M,146,
Bronx,Slattery Playground,07/23/2022 12:06:00 PM,,K.I.M,0,Detailed to Event
Queens,Hoover - Manton Playgrounds,04/28/2023 06:00:00 PM,,K.I.M,120,
Bronx,Captain Rivera Playground,06/01/2022 06:00:00 PM,,K.I.M,15,
Staten Island,DeMatti Park Fieldhouse,05/22/2024 05:41:00 PM,,K.I.M,263,
Staten Island,Rev. Dr. Maggie Howard Playground,07/13/2022 10:00:00 AM,,K.I.M,120,
Queens,Linden Park,06/02/2022 06:00:00 PM,,K.I.M,92,
Queens,Astoria Park,05/24/2022 06:00:00 PM,,K.I.M,0,Called Out
Queens,Astoria Heights Playground,05/06/2023 06:00:00 PM,,K.I.M,195,
Queens,London Planetree Playground,06/16/2022 06:00:00 PM,,K.I.M,20,
Staten Island,DeMatti Park Fieldhouse,04/29/2023 10:00:00 AM,,K.I.M,0,Bad Weather
Queens,Astoria Heights Playground,06/08/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Bronx,Poe Park,07/25/2024 11:26:00 AM,,K.I.M,287,
Staten Island,Greenbelt Recreation Center,10/06/2022 03:00:00 PM,Flag Football,S.S.E,8,
Staten Island,DeMatti Park Fieldhouse,06/28/2024 10:00:00 AM,,K.I.M,201,
Manhattan,Langston Hughes Playground,06/28/2022 06:00:00 PM,,K.I.M,320,
Manhattan,Martin Luther King Plgd,08/17/2022 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Columbus Park,07/30/2022 06:00:00 PM,,K.I.M,825,
Brooklyn,Herbert Von King Park,05/30/2023 10:00:00 AM,,K.I.M,45,
Brooklyn,Maria Hernandez Park,08/25/2022 10:00:00 AM,,K.I.M,42,
Manhattan,Samuel Seabury Playground,08/14/2024 05:07:00 PM,,K.I.M,120,
Queens,Linden Park,07/02/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Bowne Park,06/07/2024 06:00:00 PM,,K.I.M,105,
Manhattan,Sol Lain Plgd,08/24/2023 06:00:00 PM,,K.I.M,250,
Queens,Flushing Meadows Corona Park,06/02/2023 06:00:00 PM,,K.I.M,100,
Manhattan,Seward Park,06/04/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Staten Island,DeMatti Park Fieldhouse,04/26/2023 10:00:00 AM,,K.I.M,67,
Manhattan,Little Flower Playground,07/13/2022 06:00:00 PM,,K.I.M,135,
Queens,Torsney Playground,08/24/2022 03:42:00 PM,,K.I.M,38,
Bronx,Willis Playground,07/28/2023 10:00:00 AM,,K.I.M,25,
Queens,Bayswater Park,08/11/2022 06:00:00 PM,,K.I.M,36,
Bronx,Slattery Playground,06/25/2024 11:26:00 AM,,K.I.M,102,
Queens,Astoria Heights Playground,07/09/2024 06:00:00 PM,,K.I.M,0,Called Out
Brooklyn,Red Hook Park,07/09/2022 10:00:00 AM,,K.I.M,9,
Brooklyn,William Sheridan Playground,07/23/2024 10:00:00 AM,,K.I.M,11,
Manhattan,J. Hood Wright Park,10/12/2023 06:00:00 PM,,K.I.M,89,
Queens,Bowne Playground,09/03/2024 06:00:00 PM,,K.I.M,70,
Queens,Bayswater Park,05/23/2024 06:00:00 PM,,K.I.M,30,
Brooklyn,Fort Hamilton Senior Recreation Center,08/23/2023 09:00:00 AM,Various Sports,S.S.E,58,
Queens,Bowne Park,08/06/2022 05:00:00 PM,,K.I.M,45,
Queens,Torsney Playground,05/09/2023 06:00:00 PM,,K.I.M,140,
Staten Island,Fairview Park,07/09/2022 10:00:00 AM,Various Sports,S.S.E,112,
Queens,Phil Scooter Rizzuto Park,06/21/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Rockaway Beach and Boardwalk,08/17/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Hamilton Metz Field,07/05/2023 10:00:00 AM,,K.I.M,60,
Staten Island,Fairview Park,06/04/2022 10:00:00 AM,Various Sports,S.S.E,86,
Queens,Astoria Heights Playground,09/03/2024 06:00:00 PM,,K.I.M,209,
Staten Island,Schmul Park,08/20/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Brooklyn,Sternberg Park,06/22/2024 10:00:00 AM,,K.I.M,145,
Queens,Bowne Park,09/01/2023 06:00:00 PM,,K.I.M,230,
Manhattan,Mathews-Palmer Playground,06/10/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Staten Island,Lieutenant John H. Martinson Playground,05/28/2024 10:00:00 AM,,K.I.M,100,
Queens,Helen Marshall Playground,09/02/2022 10:24:00 AM,,K.I.M,28,
Queens,Phil Scooter Rizzuto Park,08/19/2023 06:00:00 PM,,K.I.M,48,
Staten Island,Austin J. McDonald Playground Fieldhouse,09/19/2024 10:00:00 AM,,K.I.M,30,
Staten Island,Arrochar Playground,04/25/2024 10:00:00 AM,,K.I.M,70,
Bronx,Williamsbridge Oval Park,09/26/2024 04:00:00 PM,Soccer,S.S.E,15,
Brooklyn,McCarren Park,07/27/2022 10:00:00 AM,,K.I.M,45,Called Out
Queens,Dutch Kills Playground,05/29/2024 06:00:00 PM,Various Sports,S.S.E,22,
Brooklyn,Carroll Park,07/11/2023 10:00:00 AM,,K.I.M,75,
Queens,Torsney Playground,07/20/2024 06:00:00 PM,,K.I.M,75,
Queens,Bayswater Park,07/13/2022 06:00:00 PM,,K.I.M,35,
Bronx,Slattery Playground,08/27/2024 11:26:00 AM,,K.I.M,9,
Queens,Astoria Heights Playground,06/18/2024 06:00:00 PM,,K.I.M,298,
Manhattan,Bloomingdale Playground,05/23/2024 09:45:00 AM,,K.I.M,65,
Manhattan,Seward Park,09/07/2023 06:00:00 PM,,K.I.M,311,
Brooklyn,Brower Park,04/25/2024 10:00:00 AM,,K.I.M,9,
Queens,Rochdale Park,09/10/2022 03:37:00 PM,,K.I.M,8,
Queens,Astoria Heights Playground,08/04/2022 05:00:00 PM,,K.I.M,25,
Brooklyn,Maria Hernandez Park,08/23/2022 10:00:00 AM,,K.I.M,41,
Manhattan,Samuel Seabury Playground,09/05/2024 05:39:00 PM,,K.I.M,300,
Manhattan,J. Hood Wright Park,07/21/2022 06:00:00 PM,,K.I.M,183,
Manhattan,Happy Warrior Playground,08/30/2022 06:00:00 PM,,K.I.M,0,Called Out
Bronx,Al Quinones Playground,09/26/2024 11:26:00 AM,,K.I.M,100,
Bronx,St. Mary's Park,08/03/2023 10:00:00 AM,,K.I.M,315,
Bronx,St. Mary's Park,08/05/2022 10:00:00 AM,,K.I.M,0,Bad Weather
Brooklyn,Sternberg Park,08/04/2022 10:00:00 AM,,K.I.M,40,
Queens,Highland Park,08/09/2024 06:00:00 PM,,K.I.M,11,
Bronx,Haffen Park,07/13/2024 10:00:00 AM,Soccer,S.S.E,24,
Bronx,Behagen Playground,08/15/2024 11:26:00 AM,,K.I.M,100,
Bronx,Lozada Playground,08/19/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Manhattan,Langston Hughes Playground,08/23/2023 06:00:00 PM,,K.I.M,95,
Queens,Helen Marshall Playground,05/11/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Yellowstone Park,06/18/2024 06:00:00 PM,,K.I.M,115,
Queens,Hoover - Manton Playgrounds,07/11/2023 06:00:00 PM,,K.I.M,65,
Staten Island,Rev. Dr. Maggie Howard Playground,07/07/2023 10:00:00 AM,,K.I.M,85,
Brooklyn,Carroll Park,08/27/2022 10:00:00 AM,,K.I.M,26,
Queens,Bowne Playground,06/28/2022 06:00:00 PM,,K.I.M,75,
Brooklyn,Marion Hopkinson Playground,06/01/2022 10:00:00 AM,,K.I.M,10,
Brooklyn,Maria Hernandez Park,08/21/2024 10:00:00 AM,,K.I.M,41,
Queens,Hoover - Manton Playgrounds,07/27/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Queens,Flushing Meadows Corona Park,06/28/2022 06:00:00 PM,,K.I.M,103,
Bronx,Williamsbridge Oval Park,07/02/2024 04:00:00 PM,Soccer,S.S.E,33,
Staten Island,DeMatti Park Fieldhouse,08/02/2022 10:00:00 AM,,K.I.M,103,
Bronx,Lozada Playground,08/20/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Queens,Juniper Valley Park,08/29/2024 06:00:00 PM,,K.I.M,73,
Manhattan,Seward Park,09/07/2022 06:00:00 PM,,K.I.M,275,
Brooklyn,Carroll Park,09/14/2024 10:00:00 AM,,K.I.M,72,
Bronx,Behagen Playground,06/09/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Bronx,Dawson Playground,05/14/2022 06:00:00 PM,,K.I.M,0,Career Coaching
Queens,Bowne Park,07/31/2024 06:00:00 PM,,K.I.M,58,
Brooklyn,William Sheridan Playground,06/29/2024 10:00:00 AM,,K.I.M,23,
Queens,Bayswater Park,09/08/2022 03:37:00 PM,,K.I.M,33,
Brooklyn,St. John's Park,09/09/2022 10:00:00 AM,,K.I.M,6,
Staten Island,Arrochar Playground,10/06/2022 10:00:00 AM,,K.I.M,38,
Brooklyn,St. John's Park,10/13/2022 10:00:00 AM,,K.I.M,0,No Attendance
Bronx,Dawson Playground,06/04/2022 06:00:00 PM,,K.I.M,47,
Queens,Astoria Heights Playground,07/20/2023 06:00:00 PM,,K.I.M,95,
Manhattan,Langston Hughes Playground,08/24/2024 05:41:00 PM,,K.I.M,55,
Queens,Juniper Valley Park,09/12/2024 06:00:00 PM,,K.I.M,63,
Queens,Helen Marshall Playground,09/20/2022 06:00:00 PM,,K.I.M,37,
Brooklyn,Hamilton Metz Field,06/18/2024 10:00:00 AM,,K.I.M,19,
Queens,Torsney Playground,09/13/2024 06:00:00 PM,,K.I.M,70,
Manhattan,Bloomingdale Playground,05/25/2023 06:00:00 PM,,K.I.M,260,
Manhattan,Carmansville Playground,09/02/2022 06:00:00 PM,,K.I.M,230,
Bronx,Flynn Playground,05/21/2022 06:00:00 PM,,K.I.M,155,
Queens,Juniper Valley Park,09/16/2022 06:00:00 PM,,K.I.M,0,Called Out
Queens,Yellowstone Park,08/03/2023 06:00:00 PM,,K.I.M,84,
Queens,Astoria Park,08/26/2022 03:42:00 PM,,K.I.M,0,No Attendance
Brooklyn,Seth Low Playground/ Bealin Square,05/24/2023 10:00:00 AM,,K.I.M,150,
Manhattan,Samuel Seabury Playground,08/25/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Staten Island,Walker Park,10/24/2024 04:00:00 PM,Flag Football,S.S.E,17,
Brooklyn,Carroll Park,09/20/2024 10:00:00 AM,,K.I.M,0,Bad Weather
Bronx,Williamsbridge Oval Park,07/03/2024 11:00:00 AM,Flag Football,S.S.E,7,
Brooklyn,Carroll Park,06/05/2024 10:00:00 AM,,K.I.M,56,
Manhattan,Sol Lain Plgd,07/13/2022 06:00:00 PM,,K.I.M,40,
Queens,Helen Marshall Playground,08/26/2022 04:05:00 PM,,K.I.M,0,Called Out
Bronx,Slattery Playground,07/25/2024 11:26:00 AM,,K.I.M,74,
Bronx,Crotona Park,08/26/2023 10:00:00 AM,,K.I.M,8,
Manhattan,Happy Warrior Playground,07/03/2024 09:42:00 AM,,K.I.M,116,
Brooklyn,McCarren Park,08/16/2022 10:00:00 AM,,K.I.M,60,Called Out
Brooklyn,Carroll Park,05/09/2024 10:00:00 AM,,K.I.M,53,
Queens,Torsney Playground,07/16/2022 06:00:00 PM,,K.I.M,62,
Queens,Bowne Playground,07/29/2023 06:00:00 PM,,K.I.M,0,
Bronx,Loreto Playground,09/16/2023 10:00:00 AM,,K.I.M,42,
Manhattan,Langston Hughes Playground,06/29/2022 06:00:00 PM,,K.I.M,370,
Brooklyn,Rappaport Playground,07/09/2022 10:00:00 AM,,K.I.M,32,
Staten Island,Greenbelt Recreation Center,05/10/2024 10:00:00 AM,Various Sports,S.S.E,16,
Queens,Bayswater Park,08/02/2024 06:00:00 PM,,K.I.M,65,
Queens,Astoria Park,09/02/2022 10:24:00 AM,,K.I.M,70,
Bronx,Flynn Playground,07/02/2024 11:26:00 AM,,K.I.M,144,
Bronx,Al Quinones Playground,08/14/2024 11:26:00 AM,,K.I.M,100,
Queens,Helen Marshall Playground,06/16/2023 06:00:00 PM,,K.I.M,37,
Queens,Queensbridge Park,07/12/2023 06:00:00 PM,,K.I.M,85,
Manhattan,Raoul Wallenberg Playground,08/28/2024 01:59:00 PM,,K.I.M,56,
Manhattan,Happy Warrior Playground,07/13/2022 06:25:00 PM,,K.I.M,200,
Queens,Flushing Meadows Corona Park,08/24/2023 06:00:00 PM,,K.I.M,17,
Queens,Bowne Playground,08/21/2024 06:00:00 PM,,K.I.M,114,
Bronx,Dawson Playground,07/28/2022 06:00:00 PM,,K.I.M,29,
Bronx,Williamsbridge Oval Recreation Center,07/14/2023 11:30:00 AM,Various Sports,S.S.E,7,
Bronx,Slattery Playground,07/26/2024 11:26:00 AM,,K.I.M,55,
Manhattan,J. Hood Wright Park,05/26/2022 06:00:00 PM,,K.I.M,131,
Brooklyn,John J Carty Park,07/08/2022 09:00:00 AM,Various Sports,S.S.E,10,
Bronx,Loreto Playground,09/27/2024 11:26:00 AM,,K.I.M,150,
Queens,Gorman Playground,06/30/2022 06:00:00 PM,,K.I.M,19,
Brooklyn,Sternberg Park,08/11/2022 10:00:00 AM,,K.I.M,0,
Bronx,Slattery Playground,06/08/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Sternberg Park,07/31/2024 10:00:00 AM,,K.I.M,44,
Staten Island,Austin J. McDonald Playground,07/22/2022 10:00:00 AM,,K.I.M,85,
Brooklyn,Red Hook Park,08/13/2022 12:00:00 PM,,K.I.M,8,
Staten Island,Austin J. McDonald Playground Fieldhouse,10/08/2024 10:00:00 AM,,K.I.M,30,
Queens,Bayswater Park,07/16/2024 06:00:00 PM,,K.I.M,0,Called Out
Brooklyn,Hamilton Metz Field,07/12/2023 10:00:00 AM,,K.I.M,50,
Bronx,Williamsbridge Oval Recreation Center,07/12/2023 11:00:00 AM,Various Sports,S.S.E,13,
Queens,Highland Park,07/24/2024 06:00:00 PM,,K.I.M,40,
Brooklyn,John J Carty Park,08/05/2022 09:00:00 AM,Various Sports,S.S.E,22,
Brooklyn,Red Hook Park,07/26/2022 11:41:00 AM,,K.I.M,7,
Bronx,Soundview Park,07/10/2024 11:26:00 AM,,K.I.M,66,
Manhattan,Mathews-Palmer Playground,06/06/2023 06:00:00 PM,,K.I.M,250,
Staten Island,Greenbelt Recreation Center,07/02/2022 03:00:00 PM,Various Sports,S.S.E,45,
Manhattan,Samuel Seabury Playground,09/27/2023 06:00:00 PM,,K.I.M,115,
Brooklyn,Marion Hopkinson Playground,07/28/2022 10:00:00 AM,,K.I.M,45,
Staten Island,Arrochar Playground,09/05/2024 03:37:00 PM,,K.I.M,70,
Manhattan,Tompkins Square Park,05/21/2022 06:00:00 PM,,K.I.M,0,
Queens,Bowne Playground,08/13/2024 06:00:00 PM,,K.I.M,81,
Queens,Gorman Playground,07/02/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Little Flower Playground,07/05/2022 06:00:00 PM,,K.I.M,235,
Staten Island,Levy Playground Fieldhouse,05/20/2023 10:00:00 AM,,K.I.M,0,Bad Weather
Staten Island,Arrochar Playground,06/20/2024 03:37:00 PM,,K.I.M,50,
Bronx,Walter Gladwin Park,10/02/2024 11:26:00 AM,,K.I.M,16,
Queens,Park of the Americas,09/28/2023 06:00:00 PM,,K.I.M,221,
Queens,Helen Marshall Playground,08/04/2023 06:00:00 PM,,K.I.M,30,
Staten Island,Greenbelt Recreation Center,08/21/2024 03:00:00 PM,Various Sports,S.S.E,4,
Brooklyn,William Sheridan Playground,07/05/2024 10:00:00 AM,,K.I.M,33,
Brooklyn,Seth Low Playground/ Bealin Square,05/14/2024 10:00:00 AM,,K.I.M,26,
Queens,Bowne Park,08/25/2023 06:00:00 PM,,K.I.M,20,
Bronx,Crotona Park,08/02/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Staten Island,Faber Park Recreation Center,08/01/2024 08:26:00 AM,,K.I.M,10,
Queens,Bayswater Park,07/26/2023 06:00:00 PM,,K.I.M,0,Called Out
Queens,Phil Scooter Rizzuto Park,06/18/2024 06:00:00 PM,,K.I.M,67,
Queens,Astoria Heights Playground,05/31/2023 06:00:00 PM,,K.I.M,135,
Manhattan,Columbus Park,09/21/2023 06:00:00 PM,,K.I.M,0,Career Coaching
Queens,Park of the Americas,06/10/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Yellowstone Park,06/24/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Sol Lain Plgd,08/08/2023 06:00:00 PM,,K.I.M,380,
Queens,Horace Harding Playground,08/23/2022 03:42:00 PM,Various Sports,S.S.E,45,
Brooklyn,Carroll Park,05/31/2024 10:00:00 AM,,K.I.M,50,
Queens,Flushing Meadows Corona Park,08/26/2023 06:00:00 PM,,K.I.M,90,
Staten Island,Lieutenant John H. Martinson Playground,07/26/2022 10:00:00 AM,,K.I.M,112,
Bronx,Williamsbridge Oval Park,09/20/2023 10:00:00 AM,,K.I.M,11,
Staten Island,DeMatti Park Fieldhouse,07/21/2022 10:00:00 AM,,K.I.M,63,
Manhattan,Mathews-Palmer Playground,06/20/2023 06:00:00 PM,,K.I.M,290,
Staten Island,Schmul Park,08/18/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Manhattan,Sol Lain Plgd,06/03/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Juniper Valley Park,09/04/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Staten Island,Skyline Playground,07/11/2024 11:28:00 AM,Various Sports,S.S.E,51,
Manhattan,Seward Park,09/20/2022 06:00:00 PM,,K.I.M,285,
Queens,Bowne Playground,09/29/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Brooklyn,Maria Hernandez Park,08/09/2024 10:00:00 AM,,K.I.M,0,Bad Weather
Queens,Park of the Americas,04/25/2023 06:00:00 PM,,K.I.M,388,
Bronx,Devoe Park,07/02/2024 11:26:00 AM,,K.I.M,180,
Queens,Astoria Heights Playground,07/08/2022 06:00:00 PM,,K.I.M,23,
Queens,Astoria Heights Playground,07/30/2022 05:00:00 PM,,K.I.M,29,
Staten Island,The Big Park,09/27/2023 10:00:00 AM,,K.I.M,26,
Bronx,Williamsbridge Oval Recreation Center,07/12/2023 04:00:00 PM,Soccer,S.S.E,28,
Brooklyn,Marion Hopkinson Playground,06/08/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Queens,Astoria Heights Playground,05/19/2022 06:00:00 PM,,K.I.M,39,
Manhattan,Happy Warrior Playground,08/13/2024 05:02:00 PM,,K.I.M,131,
Queens,Astoria Heights Playground,06/19/2024 06:00:00 PM,,K.I.M,259,
Manhattan,Bloomingdale Playground,07/22/2023 06:00:00 PM,,K.I.M,687,
Brooklyn,Carroll Park,08/03/2022 10:00:00 AM,,K.I.M,20,
Queens,Yellowstone Park,05/26/2023 06:00:00 PM,,K.I.M,115,
Staten Island,DeMatti Park Fieldhouse,06/22/2023 10:00:00 AM,,K.I.M,40,
Queens,Springfield Park,07/07/2022 06:00:00 PM,Various Sports,S.S.E,35,
Queens,Hoover - Manton Playgrounds,06/28/2024 06:00:00 PM,,K.I.M,320,
Bronx,Willis Playground,08/15/2023 10:00:00 AM,,K.I.M,30,
Manhattan,St. Catherine's Park,09/26/2023 06:00:00 PM,,K.I.M,,Bad Weather
Brooklyn,Fort Greene Park,07/07/2023 10:00:00 AM,,K.I.M,27,
Brooklyn,Bedford Playground,05/18/2022 10:00:00 AM,,K.I.M,20,
Brooklyn,Calvert Vaux Park,07/12/2023 10:00:00 AM,,K.I.M,35,
Queens,London Planetree Playground,06/28/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Bronx,Flynn Playground,09/17/2024 11:26:00 AM,,K.I.M,42,
Queens,Phil Scooter Rizzuto Park,09/02/2023 06:00:00 PM,,K.I.M,139,
Staten Island,Austin J. McDonald Playground,06/30/2022 10:00:00 AM,,K.I.M,68,
Bronx,Slattery Playground,07/15/2022 06:00:00 PM,,K.I.M,42,
Manhattan,Bloomingdale Playground,08/30/2023 06:00:00 PM,,K.I.M,0,
Queens,Dutch Kills Playground,05/18/2024 06:00:00 PM,Various Sports,S.S.E,12,
Queens,Bayswater Park,07/27/2023 06:00:00 PM,,K.I.M,32,
Manhattan,Bloomingdale Playground,05/09/2022 06:00:00 PM,,K.I.M,194,
Brooklyn,Dyker Beach Park,10/06/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Brooklyn,Maria Hernandez Park,08/24/2022 10:00:00 AM,,K.I.M,30,
Queens,Forest Park,07/09/2022 06:00:00 PM,,K.I.M,140,Detailed to Event
Queens,Bayswater Park,08/28/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,London Planetree Playground,07/27/2022 05:00:00 PM,,K.I.M,35,
Brooklyn,Red Hook Park,07/14/2022 10:00:00 AM,,K.I.M,1,
Brooklyn,Bedford Playground,06/25/2022 10:00:00 AM,,K.I.M,140,
Bronx,Al Quinones Playground,06/15/2024 11:26:00 AM,,K.I.M,200,
Bronx,Walter Gladwin Park,07/25/2024 11:26:00 AM,,K.I.M,40,
Manhattan,Sol Lain Plgd,09/20/2023 06:00:00 PM,,K.I.M,200,
Bronx,Poe Park,06/28/2024 11:26:00 AM,,K.I.M,180,
Manhattan,Fort Tryon Park,06/29/2024 09:54:00 AM,,K.I.M,456,
Bronx,St. James Park,06/13/2024 11:26:00 AM,,K.I.M,30,
Staten Island,Lieutenant John H. Martinson Playground,06/28/2022 10:00:00 AM,,K.I.M,115,
Queens,Astoria Heights Playground,06/21/2023 06:00:00 PM,,K.I.M,106,
Queens,Bayswater Park,10/12/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Carroll Park,07/15/2022 10:00:00 AM,,K.I.M,10,
Queens,Bayswater Park,07/03/2024 06:00:00 PM,,K.I.M,25,
Bronx,Clark Playground,08/24/2022 06:00:00 PM,,K.I.M,73,
Queens,Astoria Park,08/02/2022 06:00:00 PM,,K.I.M,30,
Queens,Juniper Valley Park,05/26/2022 06:00:00 PM,,K.I.M,0,No Attendance
Brooklyn,William Sheridan Playground,05/22/2024 10:00:00 AM,,K.I.M,15,
Manhattan,Bloomingdale Playground,07/14/2022 06:00:00 PM,,K.I.M,0,No Attendance
Queens,Queensbridge Park,07/19/2024 06:00:00 PM,,K.I.M,0,Called Out
Queens,Dutch Kills Playground,06/26/2024 06:00:00 PM,Tennis,S.S.E,20,
Bronx,Lozada Playground,07/09/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Bowne Park,06/22/2023 06:00:00 PM,,K.I.M,105,
Queens,Bayswater Park,05/27/2022 06:00:00 PM,,K.I.M,12,
Brooklyn,Bedford Playground,06/17/2022 10:00:00 AM,,K.I.M,137,
Queens,Dutch Kills Playground,05/30/2024 06:00:00 PM,Various Sports,S.S.E,19,
Staten Island,Lieutenant John H. Martinson Playground,04/30/2024 05:02:00 PM,,K.I.M,110,
Bronx,Hunts Point Recreation Center,08/13/2024 11:26:00 AM,,K.I.M,47,
Brooklyn,Brownsville Recreation Center,07/27/2024 12:00:00 PM,Various Sports,S.S.E,65,
Manhattan,Seward Park,09/29/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Staten Island,Austin J. McDonald Playground,06/20/2024 10:00:00 AM,Various Sports,S.S.E,10,
Queens,London Planetree Playground,07/02/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Bloomingdale Playground,05/18/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Torsney Playground,08/15/2023 06:00:00 PM,,K.I.M,70,
Manhattan,Bloomingdale Playground,05/20/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Manhattan,Columbus Park,07/01/2022 06:00:00 PM,,K.I.M,117,
Queens,Bowne Playground,07/07/2022 06:00:00 PM,,K.I.M,44,
Queens,Park of the Americas,07/17/2024 06:00:00 PM,,K.I.M,66,
Queens,Juniper Valley Park,07/01/2022 06:00:00 PM,,K.I.M,7,
Queens,Grover Cleveland Playground,08/30/2023 06:00:00 PM,,K.I.M,67,
Manhattan,Seward Park,07/30/2024 05:35:00 PM,,K.I.M,370,
Staten Island,Arrochar Playground,10/08/2024 03:37:00 PM,,K.I.M,60,
Queens,Phil Scooter Rizzuto Park,09/12/2023 06:00:00 PM,,K.I.M,121,
Brooklyn,Hamilton Metz Field,09/10/2024 10:00:00 AM,,K.I.M,37,
Staten Island,The Big Park,05/20/2023 10:00:00 AM,,K.I.M,0,Bad Weather
Queens,Torsney Playground,04/28/2023 06:00:00 PM,,K.I.M,142,
Staten Island,Terrace Playground (P.S 35),08/17/2022 10:00:00 AM,,K.I.M,36,
Manhattan,Happy Warrior Playground,09/08/2023 06:00:00 PM,,K.I.M,110,No Attendance
Brooklyn,Seth Low Playground/ Bealin Square,06/08/2023 10:00:00 AM,,K.I.M,,Bad Weather
Brooklyn,Seth Low Playground/ Bealin Square,05/24/2024 10:00:00 AM,,K.I.M,33,
Staten Island,Fairview Park,07/23/2024 10:30:00 AM,Various Sports,S.S.E,75,
Manhattan,Columbus Park,05/30/2024 05:36:00 PM,,K.I.M,194,
Manhattan,Seward Park,09/24/2022 06:00:00 PM,,K.I.M,350,
Manhattan,Martin Luther King Plgd,05/30/2024 09:40:00 AM,,K.I.M,132,
Bronx,Dawson Playground,05/11/2022 07:24:00 AM,,K.I.M,40,
