Borough,ParkorPlayground,Date,SportsPlayed,KIMorSSE,Attendance,Cancellation
Manhattan,Sol Lain Plgd,07/25/2024 09:53:00 AM,,K.I.M,35,
Bronx,Soundview Park,07/30/2024 11:26:00 AM,,K.I.M,62,
Bronx,Behagen Playground,07/09/2024 11:26:00 AM,,K.I.M,140,
Staten Island,Greencroft Playground,07/08/2023 10:00:00 AM,,K.I.M,60,
Queens,Horace Harding Playground,05/27/2023 06:00:00 PM,,K.I.M,140,
Manhattan,J. Hood Wright Park,07/27/2022 06:00:00 PM,,K.I.M,191,
Bronx,Captain Rivera Playground,06/21/2022 06:00:00 PM,,K.I.M,25,
Queens,Rockaway Beach and Boardwalk,08/01/2023 06:00:00 PM,,K.I.M,38,
Staten Island,Austin J. McDonald Playground,07/19/2022 10:00:00 AM,,K.I.M,105,
Queens,Park of the Americas,08/08/2023 06:00:00 PM,,K.I.M,226,
Bronx,Al Quinones Playground,09/24/2024 11:26:00 AM,,K.I.M,110,
Queens,Juniper Valley Park,07/14/2022 06:00:00 PM,,K.I.M,60,
Manhattan,Seward Park,08/05/2023 06:00:00 PM,,K.I.M,352,
Bronx,St. James Park,09/17/2024 11:26:00 AM,,K.I.M,42,
Queens,Yellowstone Park,05/26/2022 06:00:00 PM,,K.I.M,23,
Brooklyn,Hamilton Metz Field,05/25/2023 10:00:00 AM,,K.I.M,70,
Queens,Gorman Playground,09/02/2022 06:00:00 PM,,K.I.M,48,
Queens,Corona Golf Playground,06/24/2022 06:00:00 PM,,K.I.M,94,
Manhattan,St. Vartans Park,07/06/2022 06:00:00 PM,,K.I.M,182,
Queens,Bowne Playground,08/24/2024 06:00:00 PM,,K.I.M,51,
Queens,Torsney Playground,06/09/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Queens,Roy Wilkins Park,07/13/2024 06:00:00 PM,,K.I.M,34,
Bronx,Hunts Point Playground,06/09/2022 06:00:00 PM,,K.I.M,80,
Staten Island,Greenbelt Recreation Center,06/11/2022 03:00:00 PM,Various Sports,S.S.E,42,
Staten Island,Levy Playground,08/07/2024 03:34:00 PM,,K.I.M,0,
Brooklyn,Brower Park,07/14/2023 10:00:00 AM,,K.I.M,200,
Queens,Lawrence Virgililo Playground,07/26/2024 06:00:00 PM,,K.I.M,105,
Queens,Bowne Playground,05/12/2023 06:00:00 PM,,K.I.M,460,
Brooklyn,Marion Hopkinson Playground,05/31/2023 10:00:00 AM,,K.I.M,10,
Brooklyn,Brownsville Recreation Center,08/10/2024 12:00:00 PM,Various Sports,S.S.E,65,
Queens,Torsney Playground,06/24/2022 06:00:00 PM,,K.I.M,118,
Manhattan,Columbus Park,07/27/2023 06:00:00 PM,,K.I.M,150,
Queens,Bowne Park,07/20/2023 06:00:00 PM,,K.I.M,30,
Brooklyn,Dyker Beach Park,09/13/2022 10:00:00 AM,,K.I.M,55,
Manhattan,Bloomingdale Playground,07/31/2024 09:22:00 AM,,K.I.M,132,
Manhattan,Langston Hughes Playground,06/25/2024 05:57:00 PM,,K.I.M,57,
Manhattan,J. Hood Wright Park,09/20/2023 06:00:00 PM,,K.I.M,129,
Brooklyn,St. John's Park,09/29/2022 10:00:00 AM,,K.I.M,5,
Staten Island,Arrochar Playground,08/24/2024 03:37:00 PM,,K.I.M,27,
Bronx,Williamsbridge Oval Park,07/31/2024 03:00:00 PM,Tennis,S.S.E,5,
Brooklyn,Marion Hopkinson Playground,07/11/2023 10:00:00 AM,,K.I.M,50,
Queens,Dutch Kills Playground,07/06/2024 06:00:00 PM,Various Sports,S.S.E,17,
Brooklyn,Brower Park,05/23/2023 10:00:00 AM,,K.I.M,150,
Queens,Helen Marshall Playground,04/24/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Sternberg Park,07/20/2023 10:00:00 AM,,K.I.M,77,
Manhattan,Sol Lain Plgd,08/16/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Grover Cleveland Playground,09/01/2023 06:00:00 PM,,K.I.M,74,
Manhattan,Seward Park,06/28/2024 04:11:00 PM,,K.I.M,297,
Bronx,Loreto Playground,07/25/2024 11:26:00 AM,,K.I.M,100,
Queens,Dutch Kills Playground,05/24/2024 06:00:00 PM,,S.S.E,0,Detailed to Event
Staten Island,DeMatti Park Fieldhouse,07/24/2024 10:00:00 AM,,K.I.M,76,
Bronx,Walter Gladwin Park,07/19/2024 11:26:00 AM,,K.I.M,45,
Queens,Bowne Playground,07/22/2023 06:00:00 PM,,K.I.M,260,
Brooklyn,Hamilton Metz Field,06/03/2023 10:00:00 AM,,K.I.M,0,Detailed to Event
Queens,Park of the Americas,09/14/2023 06:00:00 PM,,K.I.M,114,
Manhattan,Seward Park,09/28/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Manhattan,Tompkins Square Park,08/02/2022 06:00:00 PM,,K.I.M,53,
Manhattan,Samuel Seabury Playground,08/30/2024 05:38:00 PM,,K.I.M,60,
Staten Island,Greencroft Playground,06/24/2023 10:00:00 AM,,K.I.M,41,
Queens,Bayswater Park,06/18/2022 06:00:00 PM,,K.I.M,73,
Manhattan,Sol Lain Plgd,07/23/2024 09:50:00 AM,,K.I.M,35,
Staten Island,Fairview Park,05/04/2024 10:00:00 AM,Various Sports,S.S.E,54,
Queens,Hoover - Manton Playgrounds,05/31/2024 06:00:00 PM,,K.I.M,160,
Queens,Astoria Heights Playground,05/16/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Samuel Seabury Playground,07/27/2024 09:42:00 AM,,K.I.M,180,
Bronx,St. Mary's Park,07/22/2022 10:00:00 AM,,K.I.M,218,
Staten Island,DeMatti Park Fieldhouse,09/28/2024 10:00:00 AM,,K.I.M,10,
Bronx,St. James Park,08/06/2024 11:26:00 AM,,K.I.M,30,
Bronx,Clark Playground,08/16/2022 10:00:00 AM,,K.I.M,50,
Manhattan,Happy Warrior Playground,06/04/2022 06:00:00 PM,,K.I.M,0,Called Out
Queens,Police Office Edward Byrne Park,05/24/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Seward Park,06/14/2022 06:00:00 PM,,K.I.M,225,
Queens,Astoria Park,06/01/2022 06:00:00 PM,,K.I.M,45,
Brooklyn,Marion Hopkinson Playground,07/09/2022 10:00:00 AM,,K.I.M,10,
Brooklyn,Carroll Park,07/13/2023 10:00:00 AM,,K.I.M,65,
Staten Island,DeMatti Park Fieldhouse,05/24/2022 10:00:00 AM,,K.I.M,28,
Queens,Yellowstone Park,09/09/2022 12:48:00 PM,,K.I.M,0,Career Coaching
Brooklyn,Stroud Playground,08/13/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Manhattan,J. Hood Wright Park,06/26/2024 05:52:00 PM,,K.I.M,134,
